year,segment,units_sold,market_share_pct
2020,Kei Car,1440000,36
2020,Compact/Sedan,1200000,30
2020,SUV,640000,16
2020,MPV,480000,12
2020,Luxury,240000,6
2021,Kei Car,1470000,35
2021,Compact/Sedan,1218000,29
2021,SUV,672000,16
2021,MPV,504000,12
2021,Luxury,336000,8
2022,Kei Car,1485000,35
2022,Compact/Sedan,1230000,29
2022,SUV,680000,16
2022,MPV,510000,12
2022,Luxury,345000,8
2023,Kei Car,1500000,34
2023,Compact/Sedan,1276000,29
2023,SUV,704000,16
2023,MPV,528000,12
2023,Luxury,392000,9
2024,Kei Car,1530000,34
2024,Compact/Sedan,1305000,29
2024,SUV,720000,16
2024,MPV,540000,12
2024,Luxury,405000,9
